Optimal path [nodeId(time to the node):
17(0) -> 84(131) -> 0(125) -> 55(113) -> 32(117) -> 30(119) -> 68(112) -> 87(145) -> 75(136) -> 12(125) -> 7(128) -> 16(131) -> 63(129) -> 38(131) -> 64(126) -> 34(159) -> 25(136) -> 8(132) -> 44(126) -> 42(121) -> 58(110) -> 5(123) -> 94(124) -> 35(108) -> 4(121) -> 82(121) -> 26(136) -> 98(133) -> 88(137) -> 48(125) -> 60(134) -> 71(150) -> 14(146) -> 9(131) -> 28(123) -> 27(140) -> 76(136) -> 3(125) -> 73(123) -> 29(122) -> 2(120) -> 74(106) -> 1(120) -> 85(122) -> 13(140) -> 59(118) -> 23(125) -> 57(129) -> 19(130) -> 69(120) -> 31(121) -> 86(119) -> 92(121) -> 51(105) -> 24(136) -> 11(135) -> 79(131) -> 81(139) -> 90(134) -> 56(121) -> 39(109) -> 78(126) -> 93(111) -> 18(120) -> 45(119) -> 53(126) -> 43(131) -> 40(108) -> 15(117) -> 77(118) -> 20(118) -> 89(131) -> 99(128) -> 83(121) -> 22(124) -> 67(113) -> 33(116) -> 47(129) -> 80(139) -> 97(116) -> 65(132) -> 95(119) -> 46(136) -> 72(145) -> 52(132) -> 41(112) -> 91(109) -> 50(117) -> 10(128) -> 54(133) -> 66(115) -> 70(140) -> 62(121) -> 21(125) -> 49(119) -> 6(129) -> 36(157) -> 37(117) -> 96(126) -> 61(142)
Total time of delivery: 12476
The cost function value: 12476

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5023372 --> [92.46256721354142%]
Healthy residents: 409499 --> [7.537432786458578%]
Vaccinated residents409499 --> [7.537432786458578%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
84 70627 4 70623 70623
0 59902 19 59883 59883
55 88344 71 88273 88273
32 59165 274 58891 58891
30 67192 1084 66108 66108
68 42462 3956 38506 38506
87 20655 20655 0 0
75 26017 26017 0 0
12 79926 79926 0 0
7 29243 29243 0 0
16 82700 82700 0 0
63 51706 51706 0 0
38 33030 33030 0 0
64 22353 22353 0 0
34 28894 28894 0 0
25 67586 67586 0 0
8 45160 45160 0 0
44 15573 15573 0 0
42 68898 68898 0 0
58 16081 16081 0 0
5 15364 15364 0 0
94 76894 76894 0 0
35 96767 96767 0 0
4 56018 56018 0 0
82 15231 15231 0 0
26 26605 26605 0 0
98 93006 93006 0 0
88 37474 37474 0 0
48 13555 13555 0 0
60 91794 91794 0 0
71 23666 23666 0 0
14 81887 81887 0 0
9 60305 60305 0 0
28 91749 91749 0 0
27 80174 80174 0 0
76 31382 31382 0 0
3 57882 57882 0 0
73 49077 49077 0 0
29 15814 15814 0 0
2 43074 43074 0 0
74 81649 81649 0 0
1 49456 49456 0 0
85 44972 44972 0 0
13 61304 61304 0 0
59 83546 83546 0 0
23 20873 20873 0 0
57 39724 39724 0 0
19 87851 87851 0 0
69 66112 66112 0 0
31 69146 69146 0 0
86 26732 26732 0 0
92 24523 24523 0 0
51 94699 94699 0 0
24 37355 37355 0 0
11 84816 84816 0 0
79 84379 84379 0 0
