Optimal path [nodeId(time to the node):
36(0) -> 32(121) -> 23(140) -> 2(136) -> 40(141) -> 9(119) -> 44(133) -> 8(131) -> 7(128) -> 10(124) -> 13(144) -> 46(139) -> 42(135) -> 26(111) -> 38(124) -> 39(135) -> 3(145) -> 5(131) -> 29(141) -> 24(128) -> 18(156) -> 25(118) -> 48(133) -> 12(124) -> 11(125) -> 47(141) -> 43(140) -> 22(140) -> 33(126) -> 14(130) -> 1(129) -> 21(137) -> 0(126) -> 20(128) -> 45(121) -> 19(113) -> 30(142) -> 35(135) -> 49(128) -> 34(132) -> 4(126) -> 16(126) -> 15(130) -> 6(134) -> 17(122) -> 41(125) -> 27(118) -> 31(110) -> 28(130) -> 37(146)
Total time of delivery: 6397
The cost function value: 6397

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2557301 --> [96.38360910173286%]
Healthy residents: 95952 --> [3.616390898267146%]
Vaccinated residents95952 --> [3.616390898267146%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
36 51676 1 51675 51675
32 32778 37 32741 32741
23 13962 2426 11536 11536
2 59636 59636 0 0
40 37916 37916 0 0
9 90298 90298 0 0
44 22955 22955 0 0
8 59097 59097 0 0
7 52412 52412 0 0
10 27278 27278 0 0
13 57370 57370 0 0
46 58433 58433 0 0
42 22928 22928 0 0
26 17928 17928 0 0
38 89747 89747 0 0
39 79510 79510 0 0
3 16050 16050 0 0
5 90210 90210 0 0
29 86455 86455 0 0
24 61926 61926 0 0
18 34212 34212 0 0
25 87768 87768 0 0
48 41563 41563 0 0
12 38389 38389 0 0
11 36243 36243 0 0
47 70879 70879 0 0
43 26088 26088 0 0
22 91889 91889 0 0
33 44211 44211 0 0
14 33326 33326 0 0
1 49826 49826 0 0
21 80840 80840 0 0
0 63772 63772 0 0
20 71926 71926 0 0
45 86355 86355 0 0
19 30140 30140 0 0
30 12230 12230 0 0
35 65482 65482 0 0
49 63359 63359 0 0
34 44159 44159 0 0
4 34099 34099 0 0
16 96804 96804 0 0
15 65892 65892 0 0
