Optimal path [nodeId(time to the node):
17(0) -> 60(142) -> 75(125) -> 11(127) -> 24(135) -> 71(151) -> 3(116) -> 33(120) -> 28(131) -> 53(135) -> 32(136) -> 7(118) -> 85(133) -> 9(130) -> 79(145) -> 61(133) -> 51(133) -> 2(117) -> 64(135) -> 73(110) -> 25(125) -> 13(121) -> 30(122) -> 15(133) -> 87(126) -> 82(136) -> 94(129) -> 6(114) -> 26(148) -> 8(138) -> 67(139) -> 1(126) -> 98(134) -> 37(115) -> 21(109) -> 59(140) -> 66(129) -> 55(117) -> 40(134) -> 43(124) -> 74(122) -> 83(141) -> 80(116) -> 44(113) -> 70(123) -> 48(144) -> 10(134) -> 69(134) -> 65(125) -> 19(108) -> 38(138) -> 89(118) -> 31(136) -> 91(127) -> 12(146) -> 20(128) -> 63(131) -> 35(121) -> 29(143) -> 58(127) -> 45(137) -> 72(139) -> 52(118) -> 95(137) -> 39(128) -> 97(127) -> 14(122) -> 23(136) -> 41(135) -> 22(127) -> 56(132) -> 54(115) -> 46(132) -> 0(125) -> 62(127) -> 77(138) -> 34(120) -> 57(117) -> 5(142) -> 47(139) -> 92(141) -> 90(115) -> 36(122) -> 84(122) -> 68(118) -> 27(112) -> 49(128) -> 16(125) -> 96(125) -> 93(125) -> 42(143) -> 76(141) -> 88(126) -> 86(123) -> 50(126) -> 78(125) -> 4(155) -> 18(138) -> 81(146) -> 99(139)
Total time of delivery: 12794
The cost function value: 12794

Statistics at the end of simulation: 
Residents: 5432871
Illness cases: 5097131 --> [93.82021034550608%]
Healthy residents: 335740 --> [6.179789654493914%]
Vaccinated residents335740 --> [6.179789654493914%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
17 27216 1 27215 27215
60 91794 5 91789 91789
75 26017 21 25996 25996
11 84816 94 84722 84722
24 37355 450 36905 36905
71 23666 2580 21086 21086
3 57882 9855 48027 48027
33 13135 13135 0 0
28 91749 91749 0 0
53 61988 61988 0 0
32 59165 59165 0 0
7 29243 29243 0 0
85 44972 44972 0 0
9 60305 60305 0 0
79 84379 84379 0 0
61 25643 25643 0 0
51 94699 94699 0 0
2 43074 43074 0 0
64 22353 22353 0 0
73 49077 49077 0 0
25 67586 67586 0 0
13 61304 61304 0 0
30 67192 67192 0 0
15 78003 78003 0 0
87 20655 20655 0 0
82 15231 15231 0 0
94 76894 76894 0 0
6 12672 12672 0 0
26 26605 26605 0 0
8 45160 45160 0 0
67 37842 37842 0 0
1 49456 49456 0 0
98 93006 93006 0 0
37 51694 51694 0 0
21 82806 82806 0 0
59 83546 83546 0 0
66 26230 26230 0 0
55 88344 88344 0 0
40 31222 31222 0 0
43 79446 79446 0 0
74 81649 81649 0 0
83 46841 46841 0 0
80 67722 67722 0 0
44 15573 15573 0 0
70 36163 36163 0 0
48 13555 13555 0 0
10 95932 95932 0 0
69 66112 66112 0 0
65 70610 70610 0 0
19 87851 87851 0 0
38 33030 33030 0 0
89 68284 68284 0 0
31 69146 69146 0 0
91 32862 32862 0 0
12 79926 79926 0 0
20 48774 48774 0 0
63 51706 51706 0 0
35 96767 96767 0 0
29 15814 15814 0 0
58 16081 16081 0 0
45 46217 46217 0 0
72 90063 90063 0 0
52 63153 63153 0 0
95 71066 71066 0 0
39 32804 32804 0 0
97 86845 86845 0 0
14 81887 81887 0 0
23 20873 20873 0 0
41 91808 91808 0 0
22 73621 73621 0 0
56 80108 80108 0 0
54 69376 69376 0 0
46 73816 73816 0 0
0 59902 59902 0 0
62 19500 19500 0 0
77 28452 28452 0 0
34 28894 28894 0 0
57 39724 39724 0 0
5 15364 15364 0 0
47 98952 98952 0 0
92 24523 24523 0 0
90 80008 80008 0 0
36 85682 85682 0 0
84 70627 70627 0 0
68 42462 42462 0 0
27 80174 80174 0 0
49 19584 19584 0 0
16 82700 82700 0 0
96 73344 73344 0 0
93 39916 39916 0 0
42 68898 68898 0 0
76 31382 31382 0 0
88 37474 37474 0 0
86 26732 26732 0 0
50 30829 30829 0 0
78 57716 57716 0 0
4 56018 56018 0 0
18 16978 16978 0 0
81 89526 89526 0 0
99 28053 28053 0 0

Statistics step by step: 
